test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
11,500,13000000000,2,5,100,0.004,0.001,0.1,14000,60000,98.0,98.0,0,440.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,448.0,448.0,0.0,90.46153846153844,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,91.0,409.0,91.0,0.0,93.0,407.0,91.0,2.0,416.0,83.99999999999999,416.0,0.0,93.0,407.0,91.0,2.0,93.0,407.0,91.0,2.0
12,600,13000000000,2,5,100,0.004,0.001,0.1,14000,60000,98.0,98.0,0,548.1538461538461,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,448.0,448.0,0.0,198.15384615384608,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,91.0,508.99999999999994,91.0,0.0,93.0,507.0,91.0,2.0,416.0,183.99999999999994,416.0,0.0,93.0,507.0,91.0,2.0,93.0,507.0,91.0,2.0
13,400,13000000000,2,5,100,0.004,0.001,0.1,14000,65000,98.0,98.0,0,332.7692307692308,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,745.9487179487179,728.0,17.94871794871795,-27.999999999999886,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,91.0,309.0,91.0,0.0,93.0,307.00000000000006,91.0,2.0,415.59999999999997,-15.599999999999936,405.59999999999997,10.0,93.0,307.00000000000006,91.0,2.0,93.0,307.00000000000006,91.0,2.0
14,500,13000000000,2,5,100,0.004,0.001,0.1,14000,65000,98.0,98.0,0,440.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,448.0,448.0,0.0,90.46153846153844,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,91.0,409.0,91.0,0.0,93.0,407.0,91.0,2.0,416.0,83.99999999999999,416.0,0.0,93.0,407.0,91.0,2.0,93.0,407.0,91.0,2.0
15,600,13000000000,2,5,100,0.004,0.001,0.1,14000,65000,98.0,98.0,0,548.1538461538461,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,448.0,448.0,0.0,198.15384615384608,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,91.0,508.99999999999994,91.0,0.0,93.0,507.0,91.0,2.0,416.0,183.99999999999994,416.0,0.0,93.0,507.0,91.0,2.0,93.0,507.0,91.0,2.0
16,400,13000000000,2,5,100,0.004,0.001,0.1,14000,70000,98.0,98.0,0,332.7692307692308,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,745.9487179487179,728.0,17.94871794871795,-27.999999999999886,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,91.0,309.0,91.0,0.0,93.0,307.00000000000006,91.0,2.0,415.59999999999997,-15.599999999999936,405.59999999999997,10.0,93.0,307.00000000000006,91.0,2.0,93.0,307.00000000000006,91.0,2.0
17,500,13000000000,2,5,100,0.004,0.001,0.1,14000,70000,98.0,98.0,0,440.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,448.0,448.0,0.0,90.46153846153844,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,91.0,409.0,91.0,0.0,93.0,407.0,91.0,2.0,416.0,83.99999999999999,416.0,0.0,93.0,407.0,91.0,2.0,93.0,407.0,91.0,2.0
18,600,13000000000,2,5,100,0.004,0.001,0.1,14000,70000,98.0,98.0,0,548.1538461538461,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,448.0,448.0,0.0,198.15384615384608,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,91.0,508.99999999999994,91.0,0.0,93.0,507.0,91.0,2.0,416.0,183.99999999999994,416.0,0.0,93.0,507.0,91.0,2.0,93.0,507.0,91.0,2.0
19,400,13000000000,2,5,100,0.004,0.001,0.1,14000,75000,98.0,98.0,0,332.7692307692308,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,745.9487179487179,728.0,17.94871794871795,-27.999999999999886,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,91.0,309.0,91.0,0.0,93.0,307.00000000000006,91.0,2.0,415.59999999999997,-15.599999999999936,405.59999999999997,10.0,93.0,307.00000000000006,91.0,2.0,93.0,307.00000000000006,91.0,2.0
20,500,13000000000,2,5,100,0.004,0.001,0.1,14000,75000,98.0,98.0,0,440.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,448.0,448.0,0.0,90.46153846153844,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,91.0,409.0,91.0,0.0,93.0,407.0,91.0,2.0,416.0,83.99999999999999,416.0,0.0,93.0,407.0,91.0,2.0,93.0,407.0,91.0,2.0
21,600,13000000000,2,5,100,0.004,0.001,0.1,14000,75000,98.0,98.0,0,548.1538461538461,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,448.0,448.0,0.0,198.15384615384608,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,91.0,508.99999999999994,91.0,0.0,93.0,507.0,91.0,2.0,416.0,183.99999999999994,416.0,0.0,93.0,507.0,91.0,2.0,93.0,507.0,91.0,2.0
22,400,13000000000,2,5,100,0.004,0.001,0.1,16000,40000,93.33333333333331,93.33333333333331,0,316.9230769230769,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,524.7863247863247,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-26.66666666666663,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,524.7863247863247,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,524.7863247863247,1.709401709401709,2,1.0,90.99999999999999,309.0,90.99999999999999,0.0,93.0,307.0,91.00000000000001,2.0,415.6,-15.59999999999998,405.6,10.000000000000002,93.0,307.0,91.00000000000001,2.0,93.0,307.0,91.00000000000001,2.0
23,500,13000000000,2,5,100,0.004,0.001,0.1,16000,40000,93.33333333333331,93.33333333333331,0,419.4871794871795,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,695.7264957264956,1.709401709401709,2,1.0,426.6666666666666,426.6666666666666,0.0,86.15384615384619,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,695.7264957264956,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,695.7264957264956,1.709401709401709,2,1.0,90.99999999999999,409.00000000000006,90.99999999999999,0.0,93.0,407.0,91.00000000000001,2.0,415.99999999999994,84.00000000000004,415.99999999999994,0.0,93.0,407.0,91.00000000000001,2.0,93.0,407.0,91.00000000000001,2.0
