test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users,single_func_nodes,single_func_avg_modules
1,400,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,316.9230769230769,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.4188034188034186,524.7863247863247,1.7094017094017093,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-26.66666666666663,1.7094017094017093,2,1.0,158.97435897435895,155.55555555555554,3.4188034188034186,524.7863247863247,1.7094017094017093,2,1.0,158.97435897435895,155.55555555555554,3.4188034188034186,524.7863247863247,1.7094017094017093,2,1.0
2,500,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,419.4871794871795,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.4188034188034186,695.7264957264956,1.7094017094017093,2,1.0,426.66666666666663,426.66666666666663,0.0,86.15384615384619,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.4188034188034186,695.7264957264956,1.7094017094017093,2,1.0,158.97435897435895,155.55555555555554,3.4188034188034186,695.7264957264956,1.7094017094017093,2,1.0
3,600,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,522.051282051282,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.4188034188034186,866.6666666666667,1.7094017094017093,2,1.0,426.66666666666663,426.66666666666663,0.0,188.71794871794873,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.4188034188034186,866.6666666666667,1.7094017094017093,2,1.0,158.97435897435895,155.55555555555554,3.4188034188034186,866.6666666666667,1.7094017094017093,2,1.0
4,400,13000000000,2,5,100,0.004,0.001,0.1,14000,45000,98.0,98.0,0,332.7692307692308,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,745.9487179487179,728.0,17.94871794871795,-27.999999999999886,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0
5,500,13000000000,2,5,100,0.004,0.001,0.1,14000,45000,98.0,98.0,0,440.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,448.0,448.0,0.0,90.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0
6,600,13000000000,2,5,100,0.004,0.001,0.1,14000,45000,98.0,98.0,0,548.1538461538461,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,448.0,448.0,0.0,198.15384615384608,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0
7,400,13000000000,2,5,100,0.004,0.001,0.1,14000,50000,98.0,98.0,0,332.7692307692308,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,745.9487179487179,728.0,17.94871794871795,-27.999999999999886,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0
8,500,13000000000,2,5,100,0.004,0.001,0.1,14000,50000,98.0,98.0,0,440.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,448.0,448.0,0.0,90.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0
9,600,13000000000,2,5,100,0.004,0.001,0.1,14000,50000,98.0,98.0,0,548.1538461538461,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,448.0,448.0,0.0,198.15384615384608,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0
10,400,13000000000,2,5,100,0.004,0.001,0.1,14000,60000,98.0,98.0,0,332.7692307692308,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,745.9487179487179,728.0,17.94871794871795,-27.999999999999886,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0
11,500,13000000000,2,5,100,0.004,0.001,0.1,14000,60000,98.0,98.0,0,440.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,448.0,448.0,0.0,90.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0
12,600,13000000000,2,5,100,0.004,0.001,0.1,14000,60000,98.0,98.0,0,548.1538461538461,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,448.0,448.0,0.0,198.15384615384608,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0
13,400,13000000000,2,5,100,0.004,0.001,0.1,14000,65000,98.0,98.0,0,332.7692307692308,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,745.9487179487179,728.0,17.94871794871795,-27.999999999999886,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0
14,500,13000000000,2,5,100,0.004,0.001,0.1,14000,65000,98.0,98.0,0,440.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,448.0,448.0,0.0,90.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0
15,600,13000000000,2,5,100,0.004,0.001,0.1,14000,65000,98.0,98.0,0,548.1538461538461,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,448.0,448.0,0.0,198.15384615384608,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0
16,400,13000000000,2,5,100,0.004,0.001,0.1,14000,70000,98.0,98.0,0,332.7692307692308,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,745.9487179487179,728.0,17.94871794871795,-27.999999999999886,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0
17,500,13000000000,2,5,100,0.004,0.001,0.1,14000,70000,98.0,98.0,0,440.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,448.0,448.0,0.0,90.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0
18,600,13000000000,2,5,100,0.004,0.001,0.1,14000,70000,98.0,98.0,0,548.1538461538461,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,448.0,448.0,0.0,198.15384615384608,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,910.0,1.794871794871795,2,1.0
19,400,13000000000,2,5,100,0.004,0.001,0.1,14000,75000,98.0,98.0,0,332.7692307692308,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,745.9487179487179,728.0,17.94871794871795,-27.999999999999886,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,551.0256410256411,1.794871794871795,2,1.0
20,500,13000000000,2,5,100,0.004,0.001,0.1,14000,75000,98.0,98.0,0,440.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,448.0,448.0,0.0,90.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,730.5128205128206,1.794871794871795,2,1.0
