test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users,single_func_nodes,single_func_avg_modules
6,125,13000000000,3,5,100,0.004,0.001,0.1,6500,19500,128.0,113.75,14.25,28.25,1.25,3,1.0,128.0,113.75,14.25,28.25,1.25,3,1.0,534.0,510.25,23.75,-377.75,1.25,3,1.0,128.0,113.75,14.25,28.25,1.25,3,1.0,128.0,113.75,14.25,28.25,1.25,3,1.0
8,175,13000000000,3,5,100,0.004,0.001,0.1,6500,19500,128.0,113.75,14.25,90.75,1.25,3,1.0,128.0,113.75,14.25,90.75,1.25,3,1.0,534.0,510.25,23.75,-315.25,1.25,3,1.0,128.0,113.75,14.25,90.75,1.25,3,1.0,128.0,113.75,14.25,90.75,1.25,3,1.0
7,150,13000000000,3,5,100,0.004,0.001,0.1,6500,19500,128.0,113.75,14.25,59.5,1.25,3,1.0,128.0,113.75,14.25,59.5,1.25,3,1.0,534.0,510.25,23.75,-346.5,1.25,3,1.0,128.0,113.75,14.25,59.5,1.25,3,1.0,128.0,113.75,14.25,59.5,1.25,3,1.0
1,0,13000000000,3,5,100,0.004,0.001,0.1,6500,19500,128.0,113.75,14.25,-128.0,1.25,3,1.0,128.0,113.75,14.25,-128.0,1.25,3,1.0,534.0,510.25,23.75,-534.0,1.25,3,1.0,128.0,113.75,14.25,-128.0,1.25,3,1.0,128.0,113.75,14.25,-128.0,1.25,3,1.0
10,0,13000000000,3,5,100,0.004,0.001,0.1,6500,23400,128.0,113.75,14.25,-128.0,1.25,3,1.0,128.0,113.75,14.25,-128.0,1.25,3,1.0,534.0,510.25,23.75,-534.0,1.25,3,1.0,128.0,113.75,14.25,-128.0,1.25,3,1.0,128.0,113.75,14.25,-128.0,1.25,3,1.0
9,200,13000000000,3,5,100,0.004,0.001,0.1,6500,19500,128.0,113.75,14.25,122.0,1.25,3,1.0,128.0,113.75,14.25,122.0,1.25,3,1.0,534.0,510.25,23.75,-284.0,1.25,3,1.0,128.0,113.75,14.25,122.0,1.25,3,1.0,128.0,113.75,14.25,122.0,1.25,3,1.0
11,25,13000000000,3,5,100,0.004,0.001,0.1,6500,23400,128.0,113.75,14.25,-96.75,1.25,3,1.0,128.0,113.75,14.25,-96.75,1.25,3,1.0,534.0,510.25,23.75,-502.75,1.25,3,1.0,128.0,113.75,14.25,-96.75,1.25,3,1.0,128.0,113.75,14.25,-96.75,1.25,3,1.0
12,50,13000000000,3,5,100,0.004,0.001,0.1,6500,23400,128.0,113.75,14.25,-65.5,1.25,3,1.0,128.0,113.75,14.25,-65.5,1.25,3,1.0,534.0,510.25,23.75,-471.5,1.25,3,1.0,128.0,113.75,14.25,-65.5,1.25,3,1.0,128.0,113.75,14.25,-65.5,1.25,3,1.0
14,100,13000000000,3,5,100,0.004,0.001,0.1,6500,23400,128.0,113.75,14.25,-3.0,1.25,3,1.0,128.0,113.75,14.25,-3.0,1.25,3,1.0,534.0,510.25,23.75,-409.0,1.25,3,1.0,128.0,113.75,14.25,-3.0,1.25,3,1.0,128.0,113.75,14.25,-3.0,1.25,3,1.0
13,75,13000000000,3,5,100,0.004,0.001,0.1,6500,23400,128.0,113.75,14.25,-34.25,1.25,3,1.0,128.0,113.75,14.25,-34.25,1.25,3,1.0,534.0,510.25,23.75,-440.25,1.25,3,1.0,128.0,113.75,14.25,-34.25,1.25,3,1.0,128.0,113.75,14.25,-34.25,1.25,3,1.0
16,150,13000000000,3,5,100,0.004,0.001,0.1,6500,23400,128.0,113.75,14.25,59.5,1.25,3,1.0,128.0,113.75,14.25,59.5,1.25,3,1.0,534.0,510.25,23.75,-346.5,1.25,3,1.0,128.0,113.75,14.25,59.5,1.25,3,1.0,128.0,113.75,14.25,59.5,1.25,3,1.0
15,125,13000000000,3,5,100,0.004,0.001,0.1,6500,23400,128.0,113.75,14.25,28.25,1.25,3,1.0,128.0,113.75,14.25,28.25,1.25,3,1.0,534.0,510.25,23.75,-377.75,1.25,3,1.0,128.0,113.75,14.25,28.25,1.25,3,1.0,128.0,113.75,14.25,28.25,1.25,3,1.0
17,175,13000000000,3,5,100,0.004,0.001,0.1,6500,23400,128.0,113.75,14.25,90.75,1.25,3,1.0,128.0,113.75,14.25,90.75,1.25,3,1.0,534.0,510.25,23.75,-315.25,1.25,3,1.0,128.0,113.75,14.25,90.75,1.25,3,1.0,128.0,113.75,14.25,90.75,1.25,3,1.0
18,200,13000000000,3,5,100,0.004,0.001,0.1,6500,23400,128.0,113.75,14.25,122.0,1.25,3,1.0,128.0,113.75,14.25,122.0,1.25,3,1.0,534.0,510.25,23.75,-284.0,1.25,3,1.0,128.0,113.75,14.25,122.0,1.25,3,1.0,128.0,113.75,14.25,122.0,1.25,3,1.0
21,50,13000000000,3,5,100,0.004,0.001,0.1,6500,27300,128.0,113.75,14.25,-65.5,1.25,3,1.0,128.0,113.75,14.25,-65.5,1.25,3,1.0,534.0,510.25,23.75,-471.5,1.25,3,1.0,128.0,113.75,14.25,-65.5,1.25,3,1.0,128.0,113.75,14.25,-65.5,1.25,3,1.0
19,0,13000000000,3,5,100,0.004,0.001,0.1,6500,27300,128.0,113.75,14.25,-128.0,1.25,3,1.0,128.0,113.75,14.25,-128.0,1.25,3,1.0,534.0,510.25,23.75,-534.0,1.25,3,1.0,128.0,113.75,14.25,-128.0,1.25,3,1.0,128.0,113.75,14.25,-128.0,1.25,3,1.0
20,25,13000000000,3,5,100,0.004,0.001,0.1,6500,27300,128.0,113.75,14.25,-96.75,1.25,3,1.0,128.0,113.75,14.25,-96.75,1.25,3,1.0,534.0,510.25,23.75,-502.75,1.25,3,1.0,128.0,113.75,14.25,-96.75,1.25,3,1.0,128.0,113.75,14.25,-96.75,1.25,3,1.0
22,75,13000000000,3,5,100,0.004,0.001,0.1,6500,27300,128.0,113.75,14.25,-34.25,1.25,3,1.0,128.0,113.75,14.25,-34.25,1.25,3,1.0,534.0,510.25,23.75,-440.25,1.25,3,1.0,128.0,113.75,14.25,-34.25,1.25,3,1.0,128.0,113.75,14.25,-34.25,1.25,3,1.0
23,100,13000000000,3,5,100,0.004,0.001,0.1,6500,27300,128.0,113.75,14.25,-3.0,1.25,3,1.0,128.0,113.75,14.25,-3.0,1.25,3,1.0,534.0,510.25,23.75,-409.0,1.25,3,1.0,128.0,113.75,14.25,-3.0,1.25,3,1.0,128.0,113.75,14.25,-3.0,1.25,3,1.0
24,125,13000000000,3,5,100,0.004,0.001,0.1,6500,27300,128.0,113.75,14.25,28.25,1.25,3,1.0,128.0,113.75,14.25,28.25,1.25,3,1.0,534.0,510.25,23.75,-377.75,1.25,3,1.0,128.0,113.75,14.25,28.25,1.25,3,1.0,128.0,113.75,14.25,28.25,1.25,3,1.0
25,150,13000000000,3,5,100,0.004,0.001,0.1,6500,27300,128.0,113.75,14.25,59.5,1.25,3,1.0,128.0,113.75,14.25,59.5,1.25,3,1.0,534.0,510.25,23.75,-346.5,1.25,3,1.0,128.0,113.75,14.25,59.5,1.25,3,1.0,128.0,113.75,14.25,59.5,1.25,3,1.0
26,175,13000000000,3,5,100,0.004,0.001,0.1,6500,27300,128.0,113.75,14.25,90.75,1.25,3,1.0,128.0,113.75,14.25,90.75,1.25,3,1.0,534.0,510.25,23.75,-315.25,1.25,3,1.0,128.0,113.75,14.25,90.75,1.25,3,1.0,128.0,113.75,14.25,90.75,1.25,3,1.0
27,200,13000000000,3,5,100,0.004,0.001,0.1,6500,27300,128.0,113.75,14.25,122.0,1.25,3,1.0,128.0,113.75,14.25,122.0,1.25,3,1.0,534.0,510.25,23.75,-284.0,1.25,3,1.0,128.0,113.75,14.25,122.0,1.25,3,1.0,128.0,113.75,14.25,122.0,1.25,3,1.0
28,0,13000000000,3,5,100,0.004,0.001,0.1,6500,31200,128.0,113.75,14.25,-128.0,1.25,3,1.0,128.0,113.75,14.25,-128.0,1.25,3,1.0,534.0,510.25,23.75,-534.0,1.25,3,1.0,128.0,113.75,14.25,-128.0,1.25,3,1.0,128.0,113.75,14.25,-128.0,1.25,3,1.0
30,50,13000000000,3,5,100,0.004,0.001,0.1,6500,31200,128.0,113.75,14.25,-65.5,1.25,3,1.0,128.0,113.75,14.25,-65.5,1.25,3,1.0,534.0,510.25,23.75,-471.5,1.25,3,1.0,128.0,113.75,14.25,-65.5,1.25,3,1.0,128.0,113.75,14.25,-65.5,1.25,3,1.0
29,25,13000000000,3,5,100,0.004,0.001,0.1,6500,31200,128.0,113.75,14.25,-96.75,1.25,3,1.0,128.0,113.75,14.25,-96.75,1.25,3,1.0,534.0,510.25,23.75,-502.75,1.25,3,1.0,128.0,113.75,14.25,-96.75,1.25,3,1.0,128.0,113.75,14.25,-96.75,1.25,3,1.0
31,75,13000000000,3,5,100,0.004,0.001,0.1,6500,31200,128.0,113.75,14.25,-34.25,1.25,3,1.0,128.0,113.75,14.25,-34.25,1.25,3,1.0,534.0,510.25,23.75,-440.25,1.25,3,1.0,128.0,113.75,14.25,-34.25,1.25,3,1.0,128.0,113.75,14.25,-34.25,1.25,3,1.0
32,100,13000000000,3,5,100,0.004,0.001,0.1,6500,31200,128.0,113.75,14.25,-3.0,1.25,3,1.0,128.0,113.75,14.25,-3.0,1.25,3,1.0,534.0,510.25,23.75,-409.0,1.25,3,1.0,128.0,113.75,14.25,-3.0,1.25,3,1.0,128.0,113.75,14.25,-3.0,1.25,3,1.0
33,125,13000000000,3,5,100,0.004,0.001,0.1,6500,31200,128.0,113.75,14.25,28.25,1.25,3,1.0,128.0,113.75,14.25,28.25,1.25,3,1.0,534.0,510.25,23.75,-377.75,1.25,3,1.0,128.0,113.75,14.25,28.25,1.25,3,1.0,128.0,113.75,14.25,28.25,1.25,3,1.0
